x,y,z,yaw,velocity,change_flag
48.8571,6.9677,0.2054,1.5797,0,0
48.8203,8.0003,0.1853,1.5775,3.6144,0
48.7927,9.0511,0.1594,1.5733,5.0903,0
48.7564,10.0507,0.1351,1.5712,5.3904,0
48.7337,11.0750,0.1292,1.5716,6.2863,0
48.7137,12.1928,0.1221,1.5709,6.9234,0
48.6959,13.3686,0.0868,1.5691,6.8617,0
48.6681,14.5287,0.0736,1.5674,6.4880,0
48.6514,15.6157,0.0577,1.5673,5.8973,0
48.6301,16.7657,0.0296,1.5668,5.5833,0
48.6068,17.7760,0.0146,1.5684,6.0628,0
48.5948,18.7761,0.0065,1.5693,6.1472,0
48.5697,19.7995,0.0017,1.5694,6.1918,0
48.5383,20.8770,-0.0157,1.5685,6.2395,0
48.5129,22.0124,-0.0227,1.5687,6.6554,0
48.4802,23.1813,-0.0357,1.5689,6.9995,0
48.4578,24.3656,-0.0529,1.5684,7.1144,0
48.4451,25.3716,-0.0504,1.5681,6.8864,0
48.4088,26.5582,-0.0537,1.5679,7.5423,0
48.3899,27.5886,-0.0722,1.5675,7.3479,0
48.3676,28.6063,-0.0742,1.5671,6.7337,0
48.3540,29.7103,-0.0775,1.5667,7.3090,0
48.3268,30.7828,-0.1004,1.5660,7.8295,0
48.3326,31.8362,-0.0991,1.5664,7.2239,0
48.3021,32.9075,-0.1039,1.5658,8.1347,0
48.2796,33.9567,-0.1220,1.5655,7.5175,0
48.2730,35.0525,-0.1261,1.5652,7.9863,0
48.2501,36.0960,-0.1566,1.5648,7.2996,0
48.2369,37.1696,-0.1753,1.5647,7.6177,0
48.2232,38.2216,-0.1494,1.5645,7.4732,0
48.1947,39.2886,-0.1834,1.5641,7.8901,0
48.1872,40.3555,-0.1870,1.5647,7.8563,0
48.1702,41.4318,-0.2072,1.5668,7.7295,0
48.1565,42.5221,-0.2133,1.5676,7.9812,0
48.1258,43.6238,-0.2487,1.5687,7.9199,0
48.0938,44.7494,-0.2629,1.5701,8.2298,0
48.0741,45.8646,-0.2877,1.5713,7.9235,0
48.0294,47.0107,-0.3203,1.5733,8.1176,0
48.0107,48.1921,-0.3529,1.5738,8.4356,0
47.9621,49.3145,-0.3812,1.5741,7.9115,0
47.9419,50.4589,-0.3938,1.5734,7.9486,0
47.9170,51.5899,-0.4154,1.5724,8.1689,0
47.8836,52.7004,-0.4153,1.5717,7.9974,0
47.8648,53.7829,-0.4296,1.5708,8.2470,0
47.8294,54.8952,-0.4463,1.5707,8.0565,0
47.8032,56.0304,-0.4465,1.5715,8.0032,0
47.7863,57.1185,-0.4653,1.5702,7.4671,0
47.7742,58.3293,-0.4914,1.5691,7.6033,0
47.7410,59.4603,-0.5274,1.5690,6.3835,0
47.7297,60.5144,-0.5293,1.5682,6.6295,0
47.6939,61.6584,-0.5633,1.5683,6.6551,0
47.6746,62.8551,-0.5776,1.5701,7.2081,0
47.6624,63.8631,-0.5824,1.5720,6.9529,0
47.6238,64.8990,-0.5982,1.5716,7.8123,0
47.6120,65.9475,-0.5920,1.5714,7.6598,0
47.5812,66.9881,-0.6091,1.5707,7.0518,0
47.5776,68.0774,-0.6204,1.5708,7.9052,0
47.5424,69.1575,-0.6193,1.5714,7.5786,0
47.5226,70.2462,-0.6136,1.5731,7.7632,0
47.4885,71.3269,-0.6357,1.5753,7.5924,0
47.4572,72.4458,-0.6446,1.5769,7.6781,0
47.4414,73.5639,-0.6701,1.5792,7.7545,0
47.3895,74.7150,-0.6772,1.5846,8.1815,0
47.3597,75.8438,-0.6982,1.5921,7.9263,0
47.3245,76.9776,-0.7170,1.6040,7.7161,0
47.2485,78.1039,-0.7396,1.6231,8.2273,0
47.1482,79.2374,-0.7480,1.6532,7.6137,0
47.0068,80.3405,-0.7538,1.6930,7.7198,0
46.7953,81.4581,-0.7804,1.7434,8.2855,0
46.5568,82.5449,-0.7776,1.8047,8.1026,0
46.2290,83.6154,-0.7823,1.8794,8.1102,0
45.8361,84.6349,-0.7621,1.9657,7.8709,0
45.3535,85.6027,-0.7722,2.0610,7.7103,0
44.7675,86.5310,-0.7679,2.1575,7.3396,0
44.1095,87.3839,-0.7631,2.2540,7.6787,0
43.4010,88.1555,-0.7423,2.3496,7.3656,0
42.5957,88.8817,-0.7207,2.4465,7.7845,0
41.7098,89.5823,-0.7043,2.5437,8.0438,0
40.7944,90.1358,-0.6905,2.6340,7.3794,0
39.8333,90.5993,-0.6633,2.7134,7.2329,0
38.8344,90.9861,-0.6433,2.7836,7.3346,0
37.8157,91.3231,-0.6133,2.8470,7.9637,0
36.7631,91.5809,-0.5839,2.9007,7.9181,0
35.7048,91.8063,-0.5574,2.9459,7.6222,0
34.6499,91.9621,-0.5395,2.9845,8.2246,0
33.5683,92.0752,-0.5149,3.0175,8.0583,0
32.4396,92.1796,-0.5052,3.0452,8.1912,0
31.2666,92.2296,-0.4955,3.0658,8.7815,0
30.0764,92.2815,-0.4921,3.0816,8.7680,0
28.8632,92.3069,-0.4914,3.0968,8.6021,0
27.6509,92.3348,-0.4853,3.1108,8.7510,0
26.4306,92.3301,-0.4828,3.1210,8.5876,0
25.2022,92.3310,-0.4879,3.1257,9.1248,0
23.9928,92.3204,-0.4918,3.1285,8.2543,0
22.9844,92.3030,-0.4854,3.1304,9.0965,0
21.8070,92.2864,-0.4849,3.1319,9.0453,0
20.5866,92.2840,-0.4802,3.1329,8.8789,0
19.3484,92.2686,-0.4796,3.1330,8.9526,0
18.3037,92.2584,-0.4791,3.1351,9.4043,0
17.2231,92.2355,-0.5014,3.1384,9.5555,0
16.1730,92.2178,-0.5189,3.1410,9.6838,0
15.1550,92.1902,-0.5397,-3.1397,8.8782,0
14.1256,92.1771,-0.5393,-3.1372,9.4946,0
13.1098,92.1556,-0.5547,-3.1345,9.1061,0
12.0545,92.1211,-0.5695,-3.1348,10.3995,0
10.9666,92.0964,-0.5823,-3.1361,9.1756,0
9.8882,92.0772,-0.6001,-3.1362,9.8670,0
8.8243,92.0394,-0.6083,-3.1350,9.7481,0
7.7416,91.9983,-0.6268,-3.1349,9.4282,0
6.6857,91.9804,-0.6267,-3.1353,9.4413,0
5.6548,91.9461,-0.6324,-3.1371,8.2720,0
4.6302,91.9208,-0.6387,-3.1369,9.0806,0
3.5809,91.8728,-0.6589,-3.1357,8.5653,0
2.5758,91.8531,-0.6802,-3.1363,8.9588,0
1.3827,91.8231,-0.7134,-3.1365,7.8479,0
0.2513,91.8091,-0.7295,-3.1368,8.1121,0
-0.8748,91.7640,-0.7494,-3.1377,8.2593,0
-2.0261,91.7349,-0.7741,-3.1379,8.8272,0
-3.1574,91.7096,-0.7765,-3.1391,8.2538,0
-4.3066,91.6786,-0.7844,-3.1394,8.1739,0
-5.4758,91.6531,-0.7996,-3.1399,7.7823,0
-6.6484,91.6211,-0.8097,-3.1404,8.3939,0
-7.7908,91.6011,-0.8277,-3.1405,8.1375,0
-8.9564,91.5734,-0.8331,-3.1413,8.6623,0
-10.0848,91.5530,-0.8473,-3.1414,8.9195,0
-11.2372,91.5257,-0.8505,3.1412,7.8943,0
-12.3754,91.5141,-0.8546,3.1399,8.2686,0
-13.4854,91.4741,-0.8762,3.1245,8.0756,0
-14.6256,91.4919,-0.8847,3.0985,7.7861,0
-15.8089,91.5175,-0.8911,3.0702,8.4308,0
-16.8949,91.5800,-0.8959,3.0456,8.2404,0
-17.9657,91.6513,-0.9014,3.0214,6.8786,0
-19.0676,91.7684,-0.9222,2.9961,7.7434,0
-20.1581,91.9156,-0.9207,2.9703,7.8548,0
-21.2559,92.0971,-0.9225,2.9445,7.9120,0
-22.2927,92.3168,-0.9498,2.9198,7.6642,0
-23.3556,92.5403,-0.9700,2.8956,7.7506,0
-24.3680,92.8133,-0.9724,2.8742,7.5194,0
-25.3606,93.0520,-0.9993,2.8675,7.4784,0
-26.3462,93.3075,-1.0061,2.8774,7.0659,0
-27.5002,93.5399,-1.0279,2.9164,6.7263,0
-28.6645,93.7426,-1.0492,2.9703,6.9707,0
-29.6622,93.8683,-1.0628,3.0141,7.0950,0
-30.8595,93.9817,-1.0767,3.0659,7.9727,0
-32.0352,94.0555,-1.0855,3.0999,6.3700,0
-33.2261,94.0782,-1.1015,3.1126,7.5937,0
-34.2358,94.0952,-1.1041,3.1117,7.6452,0
-35.2359,94.1228,-1.0934,3.1054,7.4922,0
-36.2628,94.1518,-1.1001,3.0892,7.6549,0
-37.3069,94.1827,-1.1004,3.0649,7.1312,0
-38.3454,94.2344,-1.1090,3.0339,7.5815,0
-39.3973,94.3162,-1.1204,2.9912,7.8074,0
-40.4244,94.4450,-1.1295,2.9336,7.3821,0
-41.4797,94.6519,-1.1487,2.8623,6.9418,0
-42.5211,94.9313,-1.1755,2.7771,7.8504,0
-43.5094,95.3206,-1.1902,2.6792,8.0789,0
-44.4999,95.8213,-1.2078,2.5717,7.8562,0
-45.4256,96.5179,-1.2371,2.4483,8.5917,0
-46.2055,97.2073,-1.2648,2.3197,7.3489,0
-46.8671,98.0156,-1.2851,2.1826,7.3876,0
-47.3342,98.9101,-1.3096,2.0440,6.8721,0
-47.7145,99.9469,-1.3081,1.8897,6.7991,0
-48.0064,101.0141,-1.3287,1.7693,6.8396,0
-48.2152,102.1419,-1.3693,1.6898,7.3085,0
-48.3668,103.1388,-1.3931,1.6426,7.3092,0
-48.4710,104.2215,-1.4227,1.6160,7.8187,0
-48.5372,105.3263,-1.4607,1.6025,8.1318,0
-48.6058,106.4327,-1.4916,1.5914,7.9449,0
-48.6512,107.5744,-1.5089,1.5853,8.0444,0
-48.6907,108.7436,-1.5344,1.5791,8.1326,0
-48.7345,109.9182,-1.5506,1.5742,8.1740,0
-48.7674,111.0970,-1.5579,1.5712,8.1693,0
-48.7676,112.2524,-1.5732,1.5683,8.6920,0
-48.7979,113.3766,-1.5822,1.5667,8.0333,0
-48.8093,114.5602,-1.5945,1.5663,8.5389,0
-48.8372,115.6835,-1.6095,1.5681,7.9023,0
-48.8601,116.7902,-1.6181,1.5712,7.9654,0
-48.8884,117.8935,-1.6304,1.5722,8.1126,0
-48.9198,118.9874,-1.6347,1.5734,7.8820,0
-48.9411,120.0953,-1.6422,1.5745,7.8888,0
-48.9694,121.1890,-1.6528,1.5755,7.4639,0
-49.0070,122.2597,-1.6525,1.5740,7.7795,0
-49.0477,123.3687,-1.6645,1.5729,7.6086,0
-49.0613,124.4322,-1.6594,1.5712,7.9876,0
-49.1056,125.4924,-1.6728,1.5775,7.3679,0
-49.1444,126.5444,-1.6660,1.5990,7.2704,0
-49.1951,127.6084,-1.6662,1.6262,7.8298,0
-49.3036,128.6528,-1.6681,1.6544,7.7347,0
-49.4255,129.6998,-1.6511,1.6830,7.9707,0
-49.5608,130.7355,-1.6334,1.7098,7.6234,0
-49.7328,131.7939,-1.6389,1.7298,7.8424,0
-49.9271,132.8207,-1.6366,1.7451,7.4964,0
-50.1412,133.8897,-1.6249,1.7560,8.0855,0
-50.3621,134.9132,-1.6251,1.7643,7.2812,0
-50.5972,135.9765,-1.6098,1.7695,8.0539,0
-50.8158,137.0196,-1.6029,1.7704,7.6808,0
-51.0691,138.1215,-1.6023,1.7682,8.0788,0
-51.2823,139.1932,-1.5952,1.7607,8.1503,0
-51.5050,140.2657,-1.5818,1.7413,7.7503,0
-51.7362,141.3730,-1.5956,1.7061,8.3560,0
-51.8879,142.4564,-1.6161,1.6683,8.2830,0
-52.0237,143.5289,-1.6214,1.6313,7.5558,0
-52.0871,144.6105,-1.6224,1.5962,7.7748,0
-52.1319,145.7213,-1.6349,1.5591,7.7526,0
-52.1153,146.8205,-1.6333,1.5222,8.0787,0
-52.0738,147.9815,-1.6595,1.4841,8.2761,0
-51.9285,149.1029,-1.6664,1.4461,8.0305,0
-51.8160,150.1565,-1.6765,1.4123,7.8146,0
-51.6539,151.2248,-1.6826,1.3821,7.9499,0
-51.4761,152.2803,-1.6972,1.3565,7.4478,0
-51.2463,153.3425,-1.7165,1.3387,7.9038,0
-51.0365,154.3873,-1.7317,1.3323,8.0433,0
-50.8041,155.4425,-1.7437,1.3394,7.6611,0
-50.6035,156.5254,-1.7525,1.3583,8.1093,0
-50.3974,157.6268,-1.7526,1.3903,7.7963,0
-50.2320,158.7303,-1.7583,1.4327,7.7310,0
-50.1151,159.8677,-1.7596,1.4768,8.0555,0
-50.0481,160.9494,-1.7675,1.5210,7.8338,0
-50.0184,162.0523,-1.7746,1.5634,7.9266,0
-50.0382,163.1394,-1.7713,1.5985,7.7638,0
-50.1051,164.2124,-1.7709,1.6356,8.0825,0
-50.2060,165.2460,-1.7591,1.6513,7.4294,0
-50.3337,166.3172,-1.7681,1.6437,8.0207,0
-50.4430,167.3602,-1.7575,1.6183,7.9537,0
-50.4962,168.4860,-1.7514,1.5871,8.0700,0
-50.5275,169.5623,-1.7455,1.5571,8.2376,0
-50.5094,170.6545,-1.7352,1.5307,7.7867,0
-50.4713,171.7284,-1.7441,1.5200,7.8105,0
-50.4476,172.8162,-1.7568,1.5211,7.9633,0
-50.4220,173.8852,-1.7545,1.5296,7.6695,0
-50.4041,174.9695,-1.7488,1.5370,7.4306,0
-50.4035,176.0556,-1.7494,1.5438,8.0030,0
-50.3984,177.1257,-1.7539,1.5492,7.2240,0
-50.4023,178.2023,-1.7465,1.5545,7.7160,0
-50.4017,179.2650,-1.7371,1.5570,7.8504,0
-50.4245,180.3241,-1.7311,1.5595,7.2902,0
-50.4257,181.3730,-1.7256,1.5617,7.1759,0
-50.4446,182.4266,-1.7116,1.5637,7.2135,0
-50.4536,183.4790,-1.7059,1.5659,7.4429,0
-50.4727,184.5081,-1.6906,1.5685,7.1593,0
-50.4962,185.5479,-1.6831,1.5697,7.3966,0
-50.5176,186.5675,-1.6652,1.5729,7.0781,0
-50.5498,187.5814,-1.6517,1.5720,7.3008,0
-50.5692,188.6192,-1.6331,1.5684,7.7423,0
-50.5869,189.6518,-1.6322,1.5656,7.0245,0
-50.6008,190.6874,-1.6202,1.5655,7.5328,0
-50.6200,191.7116,-1.6264,1.5654,7.1809,0
-50.6274,192.7426,-1.6112,1.5655,7.4986,0
-50.6593,193.7881,-1.6055,1.5664,7.4145,0
-50.6604,194.8086,-1.5932,1.5665,7.2962,0
-50.7117,195.8578,-1.5833,1.5673,7.5066,0
-50.7071,196.9082,-1.5733,1.5673,7.6564,0
-50.7355,197.9592,-1.5641,1.5675,7.9077,0
-50.7574,198.9880,-1.5730,1.5683,7.8431,0
-50.7900,200.0812,-1.5591,1.5685,8.2072,0
-50.7845,201.1409,-1.5650,1.5686,7.9266,0
-50.8081,202.2561,-1.5618,1.5693,8.2298,0
-50.8222,203.3592,-1.5742,1.5695,8.1673,0
-50.8501,204.4572,-1.5821,1.5701,7.6924,0
-50.8792,205.5667,-1.5706,1.5717,7.1363,0
-50.9014,206.7350,-1.5683,1.5723,8.4115,0
-50.9403,207.8642,-1.5870,1.5722,8.3083,0
-50.9587,209.0496,-1.6002,1.5723,9.0162,0
-50.9801,210.2251,-1.6098,1.5709,9.3787,0
-50.9924,211.3542,-1.6231,1.5699,7.8021,0
-51.0174,212.5206,-1.6243,1.5688,8.2860,0
-51.0355,213.6511,-1.6445,1.5678,7.7954,0
-51.0345,214.7786,-1.6254,1.5678,7.8777,0
-51.0711,215.8856,-1.6433,1.5667,7.7705,0
-51.0902,216.9826,-1.6311,1.5657,7.7140,0
-51.0948,218.0657,-1.6207,1.5660,8.2904,0
-51.1165,219.1770,-1.6118,1.5726,7.8653,0
-51.1565,220.1892,-1.5907,1.5783,6.9372,0
-51.1941,221.2993,-1.5743,1.5837,6.4881,0
-51.2574,222.4048,-1.5695,1.6281,5.3846,0
-51.5014,223.4698,-1.5472,1.8649,4.4453,0
-52.0000,224.4704,-1.5118,2.1527,5.1594,0
-52.7540,225.3097,-1.4652,2.4436,5.3098,0
-53.6016,225.8549,-1.4028,2.7028,4.7270,0
-54.5785,226.1607,-1.3393,2.9714,4.6987,0
-55.6584,226.1531,-1.3122,-3.0290,5.1472,0
-56.6354,225.8999,-1.2948,-2.7778,6.4588,0
-57.5368,225.4388,-1.2921,-2.5232,6.3988,0
-58.3467,224.6231,-1.2930,-2.2477,5.6310,0
-58.8966,223.7590,-1.2997,-2.0348,6.1519,0
-59.2394,222.7970,-1.3004,-1.8682,6.4752,0
-59.4537,221.7597,-1.3042,-1.7793,6.3788,0
-59.6128,220.6309,-1.3124,-1.7377,6.9173,0
-59.7615,219.4626,-1.3292,-1.7110,6.7108,0
-59.8952,218.4538,-1.3320,-1.6945,7.7170,0
-59.9782,217.4295,-1.3190,-1.6785,7.5312,0
-60.0778,216.3992,-1.3331,-1.6612,7.9069,0
-60.1622,215.1874,-1.3400,-1.6415,7.6782,0
-60.1983,214.1512,-1.3358,-1.6256,7.2224,0
-60.2186,213.1130,-1.3460,-1.6122,7.2963,0
-60.2483,212.1082,-1.3388,-1.6006,7.4359,0
-60.2511,211.1002,-1.3368,-1.5907,6.9912,0
-60.2670,210.0806,-1.3323,-1.5845,7.6762,0
-60.2272,208.8649,-1.3234,-1.5784,7.9218,0
-60.2108,207.6437,-1.3249,-1.5726,7.9563,0
-60.1819,206.6396,-1.3273,-1.5679,7.2073,0
-60.1651,205.6207,-1.3223,-1.5650,7.5591,0
-60.1344,204.5882,-1.3327,-1.5670,7.2669,0
-60.1201,203.5665,-1.3437,-1.5680,7.1229,0
-60.1041,202.4983,-1.3458,-1.5699,7.2656,0
-60.0734,201.4236,-1.3242,-1.5711,7.2421,0
-60.0417,200.3811,-1.3266,-1.5725,7.1158,0
-60.0142,199.3097,-1.3262,-1.5734,7.0951,0
-59.9946,198.2496,-1.3198,-1.5730,7.1339,0
-59.9653,197.1543,-1.3257,-1.5723,7.5673,0
-59.9641,196.0241,-1.3224,-1.5728,7.9748,0
-59.9388,194.8866,-1.3361,-1.5728,8.7428,0
-59.9325,193.7480,-1.3405,-1.5725,8.4483,0
-59.8979,192.5865,-1.3407,-1.5715,7.8781,0
-59.8647,191.4184,-1.3533,-1.5696,8.4281,0
-59.8397,190.2216,-1.3517,-1.5678,8.3609,0
-59.8125,189.0411,-1.3620,-1.5664,8.2284,0
