x,y,z,yaw,velocity,change_flag
23.3389,0.7790,0.1471,-0.0628,0.0,0
23.8559,0.7607,0.1632,-0.0593,7.0,0
24.4245,0.7250,0.1716,-0.0573,7.0,0
25.0124,0.7112,0.1809,-0.0512,7.0,0
25.6240,0.6851,0.1890,-0.0444,7.0,0
26.1656,0.6714,0.1992,-0.0381,7.0,0
26.7404,0.6430,0.2045,-0.0319,7.0,0
27.3469,0.6454,0.2311,-0.0265,7.0,0
27.9560,0.6478,0.2455,-0.0242,7.0,0
28.5395,0.6601,0.2603,-0.0238,7.0,0
29.1043,0.6423,0.2550,-0.0228,7.0,0
29.7044,0.6347,0.2610,-0.0205,7.0,0
30.2962,0.6568,0.2925,-0.0157,7.0,0
30.9074,0.6513,0.2930,-0.0116,7.0,0
31.5309,0.6750,0.3040,-0.0095,7.0,0
32.1567,0.6718,0.3213,-0.0076,7.0,0
32.7805,0.6760,0.3296,-0.0095,7.0,0
33.4343,0.6955,0.3542,-0.0113,7.0,0
34.0951,0.6931,0.3475,-0.0140,7.0,0
34.7483,0.6915,0.3611,-0.0175,7.0,0
35.4510,0.6836,0.3678,-0.0190,7.0,0
36.1426,0.6969,0.3922,-0.0196,7.0,0
36.8418,0.7078,0.3920,-0.0183,7.0,0
37.5753,0.6905,0.4046,-0.0131,7.0,0
38.2572,0.7136,0.4120,-0.0040,7.0,0
38.9472,0.7657,0.4098,0.0106,7.0,0
39.6130,0.7887,0.4038,0.0315,7.0,0
40.2508,0.8243,0.3957,0.0570,7.0,0
40.8943,0.8868,0.4033,0.0873,7.0,0
41.5171,0.9663,0.4006,0.1256,7.0,0
42.1219,1.0398,0.4039,0.1745,7.0,0
42.7265,1.1620,0.4017,0.2334,7.0,0
43.3244,1.3288,0.3970,0.3000,7.0,0
43.8852,1.4832,0.3725,0.3765,7.0,0
44.4253,1.6903,0.3685,0.4579,7.0,0
44.9521,1.9219,0.3612,0.5425,7.0,0
45.4301,2.2438,0.3458,0.6284,7.0,0
45.8963,2.6274,0.3357,0.7148,7.0,0
46.3129,3.0178,0.3227,0.7999,7.0,0
46.7030,3.4682,0.3176,0.8815,7.0,0
47.0497,3.9505,0.2967,0.9626,7.0,0
47.3507,4.4379,0.2874,1.0436,7.0,0
47.6148,4.9708,0.2575,1.1242,7.0,0
47.8437,5.5367,0.2530,1.2040,7.0,0
48.0082,6.1158,0.2243,1.2808,7.0,0
48.1236,6.7030,0.2325,1.3465,7.0,0
48.2220,7.3139,0.2209,1.4044,7.0,0
48.2618,7.9424,0.2139,1.4468,7.0,0
48.2820,8.5765,0.1910,1.4706,7.0,0
48.3038,9.2198,0.1862,1.4838,7.0,0
48.3447,9.8550,0.1691,1.4958,7.0,0
48.3723,10.5328,0.1488,1.5028,7.0,0
48.3927,11.1973,0.1448,1.5085,7.0,0
48.4258,11.8696,0.1371,1.5132,7.0,0
48.4416,12.5198,0.1291,1.5170,7.0,0
48.4595,13.1621,0.1054,1.5221,7.0,0
48.4756,13.8453,0.0972,1.5267,7.0,0
48.4895,14.5191,0.0804,1.5319,7.0,0
48.5104,15.1823,0.0794,1.5371,7.0,0
48.5181,15.8337,0.0680,1.5418,7.0,0
48.5191,16.5051,0.0452,1.5456,7.0,0
48.5249,17.1602,0.0416,1.5489,7.0,0
48.5176,17.8108,0.0224,1.5508,7.0,0
48.5151,18.4567,0.0023,1.5518,7.0,0
48.5111,19.1156,-0.0069,1.5528,7.0,0
48.5179,19.7638,-0.0099,1.5536,7.0,0
48.5122,20.4210,-0.0139,1.5542,7.0,0
48.4950,21.0692,-0.0241,1.5555,7.0,0
48.4956,21.7201,-0.0269,1.5583,7.0,0
48.4769,22.3598,-0.0406,1.5617,7.0,0
48.4696,22.9943,-0.0280,1.5647,7.0,0
48.4804,23.6310,-0.0411,1.5664,7.0,0
48.4628,24.2910,-0.0452,1.5681,7.0,0
48.4473,24.9463,-0.0462,1.5694,7.0,0
48.4270,25.5866,-0.0467,1.5703,7.0,0
48.4145,26.2282,-0.0483,1.5711,7.0,0
48.3991,26.8622,-0.0490,1.5706,7.0,0
48.3832,27.5103,-0.0635,1.5702,7.0,0
48.3673,28.1372,-0.0751,1.5693,7.0,0
48.3502,28.7555,-0.0763,1.5666,7.0,0
48.3334,29.4074,-0.0816,1.5632,7.0,0
48.3413,30.0356,-0.0637,1.5593,7.0,0
48.3223,30.6862,-0.0944,1.5587,7.0,0
48.3287,31.3236,-0.1019,1.5588,7.0,0
48.3329,31.9616,-0.1024,1.5588,7.0,0
48.3159,32.6170,-0.1110,1.5594,7.0,0
48.3086,33.2663,-0.1243,1.5596,7.0,0
48.3027,33.9254,-0.1293,1.5591,7.0,0
48.2945,34.5915,-0.1274,1.5593,7.0,0
48.2800,35.2675,-0.1536,1.5597,7.0,0
48.2811,35.9141,-0.1595,1.5605,7.0,0
48.2671,36.6044,-0.1432,1.5636,7.0,0
48.2605,37.2663,-0.1586,1.5650,7.0,0
48.2630,37.9139,-0.1524,1.5662,7.0,0
48.2388,38.5573,-0.1634,1.5672,7.0,0
48.2240,39.2100,-0.1758,1.5683,7.0,0
48.2143,39.8483,-0.1790,1.5695,7.0,0
48.2007,40.4915,-0.1983,1.5711,7.0,0
48.1906,41.1519,-0.1985,1.5727,7.0,0
48.1779,41.7959,-0.2069,1.5744,7.0,0
48.1612,42.4436,-0.2164,1.5760,7.0,0
48.1405,43.0872,-0.2371,1.5781,7.0,0
48.1224,43.7501,-0.2504,1.5808,7.0,0
48.0819,44.4200,-0.2502,1.5842,7.0,0
48.0582,45.0666,-0.2560,1.5868,7.0,0
48.0462,45.6820,-0.2713,1.5880,7.0,0
48.0124,46.2693,-0.2924,1.5884,7.0,0
47.9793,46.8344,-0.3069,1.5877,7.0,0
47.9599,47.4417,-0.3215,1.5856,7.0,0
47.9409,47.9455,-0.3340,1.5836,7.0,0
47.9142,48.4487,-0.3414,1.5819,7.0,0
47.8987,48.9862,-0.3597,1.5798,7.0,0
47.8715,49.5542,-0.3817,1.5789,7.0,0
47.8578,50.1245,-0.3871,1.5836,7.0,0
47.8532,50.6668,-0.3778,1.5884,7.0,0
47.8253,51.2867,-0.3965,1.5885,7.0,0
47.8053,51.9435,-0.4030,1.5848,7.0,0
47.7834,52.4799,-0.4040,1.5818,7.0,0
47.7477,53.0325,-0.4271,1.5788,7.0,0
47.7354,53.6214,-0.4466,1.5784,7.0,0
47.7298,54.2219,-0.4208,1.5781,7.0,0
47.6898,54.8600,-0.4375,1.5793,7.0,0
47.6682,55.4795,-0.4488,1.5792,7.0,0
47.6559,56.1127,-0.4482,1.5797,7.0,0
47.6520,56.7767,-0.4529,1.5798,7.0,0
47.6250,57.4379,-0.4723,1.5796,7.0,0
47.6096,58.1063,-0.4797,1.5793,7.0,0
47.5839,58.8263,-0.5039,1.5786,7.0,0
47.5565,59.5762,-0.5257,1.5765,7.0,0
47.5550,60.0971,-0.5309,1.5742,7.0,0
47.5428,60.6007,-0.5408,1.5719,7.0,0
47.5168,61.3488,-0.5706,1.5688,7.0,0
47.5090,61.8671,-0.5650,1.5668,7.0,0
47.4928,62.6046,-0.5769,1.5650,7.0,0
47.4857,63.3306,-0.5739,1.5644,7.0,0
47.4827,64.0528,-0.5708,1.5642,7.0,0
47.4541,64.7615,-0.5730,1.5642,7.0,0
47.4607,65.4657,-0.5845,1.5653,7.0,0
47.4399,66.1669,-0.5875,1.5664,7.0,0
47.4306,66.8349,-0.5842,1.5672,7.0,0
47.4257,67.5161,-0.6014,1.5681,7.0,0
47.4119,68.2000,-0.6000,1.5694,7.0,0
47.3817,68.8866,-0.5972,1.5715,7.0,0
47.3838,69.5436,-0.6052,1.5742,7.0,0
47.3478,70.2108,-0.6058,1.5802,7.0,0
47.3126,70.8766,-0.6284,1.5882,7.0,0
47.2765,71.5424,-0.6309,1.5984,7.0,0
47.2431,72.2107,-0.6421,1.6100,7.0,0
47.1979,72.8956,-0.6483,1.6220,7.0,0
47.1567,73.5636,-0.6646,1.6333,7.0,0
47.0832,74.2209,-0.6715,1.6453,7.0,0
47.0161,74.8787,-0.6699,1.6556,7.0,0
46.9471,75.5329,-0.6742,1.6657,7.0,0
46.8653,76.1985,-0.6895,1.6792,7.0,0
46.7939,76.8562,-0.6886,1.6931,7.0,0
46.6706,77.5290,-0.6922,1.7102,7.0,0
46.5454,78.1868,-0.7127,1.7299,7.0,0
46.4181,78.8580,-0.7170,1.7523,7.0,0
46.2647,79.5091,-0.7301,1.7782,7.0,0
46.1149,80.1494,-0.7370,1.8047,7.0,0
45.9497,80.7919,-0.7427,1.8321,7.0,0
45.7565,81.4671,-0.7648,1.8624,7.0,0
45.5471,82.1419,-0.7599,1.8971,7.0,0
45.3145,82.7992,-0.7486,1.9354,7.0,0
45.0517,83.4369,-0.7567,1.9762,7.0,0
44.7906,84.0597,-0.7528,2.0188,7.0,0
44.4706,84.6702,-0.7575,2.0629,7.0,0
44.1217,85.2417,-0.7417,2.1071,7.0,0
43.7775,85.8111,-0.7323,2.1532,7.0,0
43.3963,86.3555,-0.7259,2.2011,7.0,0
42.9895,86.8766,-0.7181,2.2522,7.0,0
42.5558,87.3548,-0.7048,2.3080,7.0,0
42.1073,87.8106,-0.7085,2.3670,7.0,0
41.6309,88.2163,-0.6936,2.4286,7.0,0
41.1068,88.5904,-0.6845,2.4918,7.0,0
40.5742,88.9263,-0.6823,2.5554,7.0,0
40.0327,89.2662,-0.6790,2.6146,7.0,0
39.4433,89.5503,-0.6517,2.6671,7.0,0
38.8558,89.8315,-0.6385,2.7148,7.0,0
38.2546,90.0703,-0.6288,2.7600,7.0,0
37.6204,90.2748,-0.6110,2.7991,7.0,0
37.0019,90.4629,-0.5888,2.8308,7.0,0
36.3726,90.6482,-0.5771,2.8573,7.0,0
35.7428,90.8124,-0.5654,2.8814,7.0,0
35.0963,90.9698,-0.5426,2.9038,7.0,0
34.4373,91.1136,-0.5311,2.9254,7.0,0
33.7609,91.2478,-0.5236,2.9457,7.0,0
33.0901,91.3586,-0.5207,2.9629,7.0,0
32.4169,91.4610,-0.5103,2.9798,7.0,0
31.7319,91.5391,-0.5071,2.9964,7.0,0
31.0199,91.6242,-0.5099,3.0130,7.0,0
30.3179,91.7044,-0.4923,3.0288,7.0,0
29.5777,91.7766,-0.4922,3.0429,7.0,0
28.8463,91.8301,-0.4854,3.0547,7.0,0
28.0982,91.8661,-0.4946,3.0672,7.0,0
27.3669,91.9110,-0.4939,3.0785,7.0,0
26.8581,91.9201,-0.4798,3.0868,7.0,0
26.3430,91.9446,-0.4772,3.0940,7.0,0
25.5895,91.9778,-0.4765,3.1036,7.0,0
25.0529,91.9742,-0.4813,3.1087,7.0,0
24.5428,91.9813,-0.4821,3.1113,7.0,0
23.7870,91.9981,-0.4765,3.1136,7.0,0
23.2736,92.0056,-0.4678,3.1145,7.0,0
22.7550,91.9968,-0.4698,3.1157,7.0,0
22.2216,92.0037,-0.4737,3.1174,7.0,0
21.6811,92.0021,-0.4769,3.1191,7.0,0
21.1407,92.0028,-0.4743,3.1212,7.0,0
20.5798,92.0019,-0.4757,3.1239,7.0,0
20.0659,92.0011,-0.4675,3.1253,7.0,0
19.5429,91.9997,-0.4596,3.1271,7.0,0
18.9995,91.9955,-0.4590,3.1286,7.0,0
18.4527,91.9781,-0.4681,3.1290,7.0,0
17.8836,91.9711,-0.4706,3.1290,7.0,0
17.3102,91.9706,-0.4855,3.1284,7.0,0
16.7408,91.9643,-0.4935,3.1272,7.0,0
16.1870,91.9565,-0.5090,3.1251,7.0,0
15.5939,91.9622,-0.5191,3.1230,7.0,0
14.9883,91.9609,-0.5252,3.1216,7.0,0
14.3878,91.9574,-0.5295,3.1200,7.0,0
13.7990,91.9664,-0.5346,3.1181,7.0,0
13.1753,91.9692,-0.5400,3.1167,7.0,0
12.5536,91.9653,-0.5475,3.1153,7.0,0
11.9527,91.9813,-0.5605,3.1149,7.0,0
11.3099,91.9876,-0.5787,3.1150,7.0,0
10.6767,91.9887,-0.5810,3.1154,7.0,0
10.0419,91.9870,-0.5863,3.1158,7.0,0
9.3823,91.9869,-0.6007,3.1168,7.0,0
8.7272,91.9901,-0.6060,3.1174,7.0,0
8.0969,91.9931,-0.6106,3.1179,7.0,0
7.4159,91.9972,-0.6200,3.1179,7.0,0
6.7705,91.9970,-0.6171,3.1160,7.0,0
6.1244,92.0024,-0.6312,3.1128,7.0,0
5.4606,92.0149,-0.6422,3.1084,7.0,0
4.8280,92.0309,-0.6466,3.1013,7.0,0
4.1805,92.0449,-0.6556,3.0927,7.0,0
3.5367,92.0730,-0.6666,3.0826,7.0,0
2.8811,92.0861,-0.6731,3.0703,7.0,0
2.2302,92.1386,-0.6823,3.0579,7.0,0
1.5879,92.1767,-0.7046,3.0450,7.0,0
0.9630,92.2231,-0.7190,3.0326,7.0,0
0.3375,92.2965,-0.7302,3.0207,7.0,0
-0.2874,92.3495,-0.7435,3.0084,7.0,0
-0.8975,92.4218,-0.7548,2.9970,7.0,0
-1.5117,92.4913,-0.7704,2.9874,7.0,0
-2.1155,92.5600,-0.7776,2.9794,7.0,0
-2.7017,92.6445,-0.7877,2.9726,7.0,0
-3.2824,92.7356,-0.7936,2.9665,7.0,0
-3.8434,92.8093,-0.8048,2.9622,7.0,0
-4.4079,92.9123,-0.8040,2.9599,7.0,0
-4.9543,92.9932,-0.8074,2.9580,7.0,0
-5.5135,93.0807,-0.8158,2.9574,7.0,0
-6.0553,93.1657,-0.8207,2.9570,7.0,0
-6.5968,93.2621,-0.8256,2.9578,7.0,0
