x,y,z,yaw,velocity,change_flag
33.3747,0.6683,0.3602,0.0020,0,0
34.4027,0.6709,0.3598,0.0022,5.0000,0
35.4422,0.6933,0.3774,0.0032,5.0000,0
36.4658,0.7292,0.4026,0.0039,5.0000,0
37.4679,0.7245,0.4123,0.0113,5.0000,0
38.6121,0.7755,0.4053,0.0416,5.0000,0
39.6520,0.8432,0.4081,0.1051,5.0000,0
40.7339,1.0502,0.4066,0.1992,5.0000,0
41.8184,1.3794,0.3930,0.3094,5.0000,0
42.7825,1.7494,0.3757,0.4094,5.0000,0
43.7669,2.2693,0.3577,0.5162,5.0000,0
44.6487,2.8624,0.3304,0.6199,5.0000,0
45.4474,3.5224,0.3248,0.7381,5.0000,0
46.1487,4.3070,0.2954,0.8826,5.0000,0
46.7608,5.1819,0.2600,1.0332,5.0000,0
47.2146,6.0731,0.2279,1.1499,5.0000,0
47.6111,7.0476,0.2033,1.2583,5.0000,0
47.8993,8.1534,0.1890,1.3555,5.0000,0
48.1022,9.2855,0.1824,1.4269,5.0000,0
48.2070,10.3803,0.1546,1.4718,0.0000,0
