x,y,z,yaw,velocity,change_flag
9.2503,0.1384,0.1978,-0.0061,0,0
10.3226,0.1592,0.2070,-0.0050,3.0000,0
11.4064,0.1689,0.1757,-0.0035,7.0000,0
12.4126,0.1989,0.1663,-0.0012,7.0000,0
13.4813,0.2313,0.1643,0.0016,7.0000,0
14.5722,0.2596,0.1675,0.0028,7.0000,0
15.5868,0.2829,0.1479,0.0050,7.0000,0
16.5988,0.3052,0.1408,0.0030,7.0000,0
17.6666,0.3241,0.1371,0.0011,7.0000,0
18.7336,0.3616,0.1451,0.0002,7.0000,0
19.7567,0.3863,0.1424,-0.0002,7.0000,0
20.8567,0.3947,0.1474,0.0001,7.0000,0
21.9066,0.4047,0.1447,-0.0007,7.0000,0
22.9691,0.4271,0.1523,0.0020,7.0000,0
24.0640,0.4458,0.1706,0.0034,7.0000,0
25.1104,0.4797,0.1864,0.0032,7.0000,0
26.1651,0.5030,0.1840,0.0026,7.0000,0
27.1955,0.5157,0.2152,0.0005,7.0000,0
28.2976,0.5601,0.2485,0.0020,7.0000,0
29.3425,0.5637,0.2662,0.0005,7.0000,0
30.3668,0.6053,0.3019,-0.0014,7.0000,0
31.3936,0.6258,0.3065,-0.0003,7.0000,0
32.4286,0.6361,0.3434,-0.0002,7.0000,0
33.4286,0.6361,0.3434,-0.0002,7.0000,0
34.4286,0.6361,0.3434,-0.0002,7.0000,0
35.4286,0.6361,0.3434,-0.0002,7.0000,0
36.0000,0.6361,0.3434,-0.0002,0.0000,0
