x,y,z,yaw,velocity,change_flag
47.2915,72.1517,-0.6463,1.5626,0,0
47.2826,73.1754,-0.6613,1.5646,5.0000,0
47.2587,74.1949,-0.6680,1.5689,5.0000,0
47.2355,75.2444,-0.6876,1.5737,5.0000,0
47.2170,76.3095,-0.6935,1.5773,5.0000,0
47.1879,77.3935,-0.7166,1.5896,5.0000,0
47.1522,78.4651,-0.7406,1.6111,5.0000,0
47.0522,79.5788,-0.7568,1.6408,5.0000,0
46.9168,80.6395,-0.7745,1.6780,5.0000,0
46.7495,81.6784,-0.7771,1.7237,5.0000,0
46.5597,82.6933,-0.7822,1.7817,5.0000,0
46.2697,83.6783,-0.7796,1.8515,5.0000,0
45.9165,84.6766,-0.7720,1.9358,5.0000,0
45.4703,85.6315,-0.7720,2.0288,5.0000,0
44.9485,86.5090,-0.7712,2.1305,5.0000,0
44.3573,87.3268,-0.7583,2.2345,5.0000,0
43.6613,88.1404,-0.7438,2.3351,5.0000,0
42.9020,88.8571,-0.7173,2.4341,5.0000,0
42.0791,89.4882,-0.7064,2.5296,5.0000,0
41.1990,90.0251,-0.6889,2.6217,5.0000,0
40.3149,90.5051,-0.6777,2.7079,5.0000,0
39.3516,90.8748,-0.6520,2.7808,5.0000,0
38.3432,91.1842,-0.6279,2.8383,5.0000,0
37.3251,91.4446,-0.6029,2.8863,5.0000,0
36.2873,91.6608,-0.5779,2.9267,5.0000,0
35.2387,91.8465,-0.5434,2.9549,5.0000,0
34.1624,92.0024,-0.5253,2.9817,5.0000,0
33.0615,92.1384,-0.5172,3.0052,5.0000,0
31.9232,92.2456,-0.5061,3.0280,0.0000,0
