x,y,z,yaw,velocity,change_flag
48.2411,11.0206,0.1435,1.4886,0,0
48.3032,12.1233,0.1411,1.5087,5.0000,0
48.3349,13.2209,0.1066,1.5154,5.0000,0
48.3714,14.3080,0.0959,1.5152,5.0000,0
48.4192,15.3888,0.0824,1.5266,5.0000,0
48.4309,16.4765,0.0468,1.5459,5.0000,0
48.4161,17.5694,0.0246,1.5539,5.0000,0
48.4166,18.6527,0.0040,1.5579,5.0000,0
48.3976,19.6890,0.0005,1.5627,5.0000,0
48.3713,20.8055,-0.0132,1.5649,5.0000,0
48.3436,21.8916,-0.0233,1.5691,5.0000,0
48.3303,22.9871,-0.0214,1.5718,5.0000,0
48.2931,24.0698,-0.0295,1.5744,5.0000,0
48.2706,25.1431,-0.0416,1.5747,5.0000,0
48.2339,26.1605,-0.0412,1.5722,5.0000,0
48.2171,27.2307,-0.0554,1.5692,5.0000,0
48.2002,28.2892,-0.0605,1.5684,5.0000,0
48.1708,29.4114,-0.0757,1.5669,5.0000,0
48.1505,30.4260,-0.0720,1.5653,5.0000,0
48.1461,31.5403,-0.0878,1.5639,5.0000,0
48.1215,32.7037,-0.0931,1.5618,5.0000,0
48.1119,33.7329,-0.1100,1.5603,5.0000,0
48.1079,34.7857,-0.1182,1.5622,5.0000,0
48.0864,35.9398,-0.1412,1.5632,5.0000,0
48.0645,37.0852,-0.1663,1.5648,5.0000,0
48.0630,38.2445,-0.1453,1.5661,5.0000,0
48.0212,39.4000,-0.1873,1.5689,5.0000,0
48.0092,40.5409,-0.1826,1.5702,5.0000,0
47.9848,41.6251,-0.2035,1.5714,5.0000,0
47.9560,42.6574,-0.2151,1.5725,5.0000,0
47.9345,43.6774,-0.2412,1.5735,5.0000,0
47.8952,44.7139,-0.2477,1.5749,5.0000,0
47.8635,45.7223,-0.2819,1.5762,5.0000,0
47.8280,46.7926,-0.3096,1.5779,5.0000,0
47.8025,47.9457,-0.3263,1.5781,5.0000,0
47.7609,48.9595,-0.3526,1.5778,5.0000,0
47.7413,49.9828,-0.3735,1.5772,5.0000,0
47.7060,51.0405,-0.3903,1.5768,5.0000,0
47.6836,52.0645,-0.3991,1.5768,5.0000,0
47.6331,53.1117,-0.4275,1.5756,5.0000,0
47.6157,54.2013,-0.4146,1.5752,5.0000,0
47.5662,55.2510,-0.4513,1.5750,5.0000,0
47.5589,56.3203,-0.4393,1.5728,5.0000,0
47.5389,57.4272,-0.4612,1.5705,5.0000,0
47.5193,58.5589,-0.4833,1.5684,5.0000,0
47.4883,59.6820,-0.5341,1.5677,5.0000,0
47.4791,60.8159,-0.5325,1.5677,5.0000,0
47.4498,61.9206,-0.5557,1.5646,5.0000,0
47.4269,63.0381,-0.5693,1.5634,5.0000,0
47.4216,64.1397,-0.5742,1.5633,5.0000,0
47.3935,65.2670,-0.5919,1.5665,5.0000,0
47.3951,66.3973,-0.5810,1.5654,5.0000,0
47.3821,67.4346,-0.5993,1.5668,5.0000,0
47.3617,68.4974,-0.5910,1.5683,5.0000,0
47.3334,69.4970,-0.6130,1.5663,5.0000,0
47.3000,70.4980,-0.6126,1.5641,5.0000,0
47.2951,71.5594,-0.6293,1.5617,0.0000,0
