x,y,z,yaw,velocity,change_flag
-33.5541,94.5220,-1.1069,3.1266,0.0,0
-34.1183,94.5269,-1.0949,3.1258,5.0,0
-34.7120,94.5271,-1.0961,3.1210,5.0,0
-35.2961,94.5132,-1.1078,3.1123,5.0,0
-35.8312,94.5135,-1.1089,3.1013,5.0,0
-36.3710,94.5207,-1.1095,3.0851,5.0,0
-36.9178,94.5230,-1.1176,3.0630,5.0,0
-37.5127,94.5411,-1.1201,3.0327,5.0,0
-38.0658,94.6108,-1.1316,2.9962,5.0,0
-38.6512,94.7039,-1.1398,2.9587,5.0,0
-39.2236,94.8295,-1.1522,2.9182,5.0,0
-39.7809,94.9611,-1.1614,2.8780,5.0,0
-40.3545,95.1233,-1.1705,2.8374,5.0,0
-40.9406,95.3373,-1.1714,2.7936,5.0,0
-41.5240,95.5734,-1.1883,2.7472,5.0,0
-42.0878,95.8283,-1.1940,2.6988,5.0,0
-42.6456,96.0882,-1.2171,2.6509,5.0,0
-43.2063,96.4019,-1.2261,2.6001,5.0,0
-43.6586,96.6748,-1.2355,2.5582,5.0,0
-44.0655,96.9708,-1.2418,2.5110,5.0,0
-44.4851,97.2674,-1.2366,2.4556,5.0,0
-44.8823,97.5834,-1.2583,2.4009,5.0,0
-45.3465,98.0108,-1.2909,2.3365,5.0,0
-45.7950,98.4912,-1.3131,2.2705,5.0,0
-46.2118,99.0071,-1.3316,2.2038,5.0,0
-46.5286,99.3942,-1.3492,2.1526,5.0,0
-46.9075,99.9291,-1.3468,2.0843,5.0,0
-47.2569,100.4753,-1.3705,2.0147,5.0,0
-47.5497,101.0418,-1.3724,1.9467,5.0,0
-47.8065,101.6369,-1.3928,1.8809,5.0,0
-48.0329,102.2309,-1.3850,1.8153,5.0,0
-48.1920,102.8669,-1.4075,1.7552,5.0,0
-48.3046,103.4625,-1.4203,1.7071,5.0,0
-48.3859,104.0383,-1.4360,1.6690,5.0,0
-48.4496,104.5964,-1.4448,1.6385,5.0,0
-48.4710,105.1692,-1.4708,1.6174,5.0,0
-48.5027,105.6790,-1.4903,1.6002,5.0,0
-48.5278,106.2840,-1.5013,1.5865,5.0,0
-48.5333,106.8413,-1.5075,1.5809,0.0,0
