x,y,z,yaw,velocity,change_flag
-30.8500,94.3714,-1.0778,3.1179,0.0,0
-31.3654,94.3705,-1.0855,3.1189,7.0,0
-31.8859,94.3763,-1.0888,3.1188,7.0,0
-32.4218,94.3964,-1.0899,3.1154,7.0,0
-33.0643,94.3906,-1.0847,3.1021,7.0,0
-33.6019,94.4125,-1.0876,3.0858,7.0,0
-34.1842,94.4172,-1.0856,3.0587,7.0,0
-34.8610,94.4520,-1.0899,3.0244,7.0,0
-35.5372,94.4949,-1.0934,2.9854,7.0,0
-36.2439,94.5854,-1.1010,2.9439,7.0,0
-36.7586,94.6757,-1.1129,2.9152,7.0,0
-37.2615,94.7787,-1.1227,2.8857,7.0,0
-37.7628,94.8964,-1.1200,2.8577,7.0,0
-38.2709,95.0359,-1.1317,2.8283,7.0,0
-38.7501,95.1983,-1.1361,2.8003,7.0,0
-39.2561,95.3905,-1.1452,2.7717,7.0,0
-39.7472,95.5706,-1.1547,2.7419,7.0,0
-40.2186,95.7698,-1.1544,2.7148,7.0,0
-40.9341,96.0477,-1.1772,2.6714,7.0,0
-41.5704,96.3721,-1.1924,2.6274,7.0,0
-42.0149,96.6304,-1.2011,2.5950,7.0,0
-42.4505,96.9037,-1.1990,2.5615,7.0,0
-43.0734,97.3320,-1.2098,2.5074,7.0,0
-43.5019,97.6351,-1.2178,2.4686,7.0,0
-44.0594,98.0934,-1.2361,2.4081,7.0,0
-44.4647,98.3989,-1.2587,2.3661,7.0,0
-44.8122,98.7884,-1.2841,2.3237,7.0,0
-45.3142,99.3571,-1.3226,2.2585,7.0,0
-45.7660,99.9508,-1.3378,2.1965,7.0,0
-46.0926,100.5329,-1.3646,2.1320,7.0,0
-46.3739,101.1059,-1.3681,2.0639,7.0,0
-46.6819,101.6713,-1.3897,1.9978,7.0,0
-46.9338,102.2629,-1.4043,1.9341,7.0,0
-47.1415,102.8434,-1.4283,1.8745,7.0,0
-47.3407,103.4434,-1.4492,1.8226,7.0,0
-47.5303,104.0593,-1.4445,1.7788,7.0,0
-47.6888,104.6746,-1.4575,1.7469,7.0,0
-47.7874,105.3443,-1.4845,1.7177,7.0,0
-47.9100,106.0028,-1.4964,1.6893,7.0,0
-47.9905,106.6846,-1.5119,1.6608,7.0,0
-48.0756,107.3574,-1.5213,1.6347,7.0,0
-48.1399,108.0547,-1.5279,1.6153,7.0,0
-48.1913,108.7496,-1.5569,1.6033,3.0,0
-48.2357,109.4555,-1.5654,1.5953,0.0,0
