x,y,z,yaw,velocity,change_flag
-50.0431,114.9336,-1.5327,1.6924,0.0,0
-50.1879,115.9346,-1.5466,1.6738,7.0,0
-50.3109,116.9849,-1.5425,1.6663,7.0,0
-50.4436,118.1267,-1.5531,1.6639,7.0,0
-50.5638,119.1482,-1.5514,1.6677,7.0,0
-50.6877,120.1935,-1.5489,1.6728,7.0,0
-50.8133,121.1956,-1.5499,1.6769,7.0,0
-50.9324,122.2183,-1.5456,1.6800,7.0,0
-51.0581,123.2451,-1.5459,1.6854,7.0,0
-51.2193,124.2613,-1.5493,1.7000,7.0,0
-51.4053,125.2893,-1.5542,1.7018,7.0,0
-51.5440,126.3546,-1.5527,1.6953,7.0,0
-51.7101,127.4524,-1.5428,1.6842,7.0,0
-51.8664,128.5716,-1.5363,1.6670,7.0,0
-51.9704,129.6741,-1.5229,1.6497,7.0,0
-52.0789,130.8011,-1.5249,1.6314,7.0,0
-52.1507,131.9599,-1.5238,1.6129,7.0,0
-52.2090,132.9923,-1.5251,1.5974,7.0,0
-52.2732,134.0503,-1.5220,1.5899,7.0,0
-52.2935,135.1575,-1.5220,1.5860,7.0,0
-52.3482,136.2805,-1.5189,1.5829,7.0,0
-52.3750,137.4479,-1.5234,1.5783,7.0,0
-52.3989,138.6281,-1.5351,1.5759,7.0,0
-52.4335,139.8294,-1.5508,1.5758,7.0,0
-52.4500,140.8320,-1.5573,1.5743,7.0,0
-52.4940,141.8311,-1.5859,1.5713,7.0,0
-52.5080,142.8505,-1.6006,1.5684,7.0,0
-52.5284,143.8589,-1.6025,1.5665,7.0,0
-52.5430,144.8842,-1.6110,1.5644,7.0,0
-52.5624,145.9420,-1.6128,1.5643,7.0,0
-52.5871,146.9729,-1.6217,1.5653,7.0,0
-52.6185,147.9933,-1.6381,1.5663,7.0,0
-52.6304,149.0144,-1.6458,1.5677,7.0,0
-52.6713,150.2082,-1.6491,1.5687,7.0,0
-52.6685,151.2185,-1.6402,1.5701,7.0,0
-52.6998,152.4161,-1.6461,1.5714,7.0,0
-52.7158,153.4391,-1.6435,1.5727,7.0,0
-52.7424,154.4874,-1.6441,1.5739,7.0,0
-52.7653,155.5441,-1.6442,1.5750,7.0,0
-52.7940,156.6159,-1.6499,1.5746,7.0,0
-52.8141,157.6871,-1.6455,1.5733,7.0,0
-52.8409,158.7872,-1.6547,1.5721,7.0,0
-52.8529,159.8748,-1.6420,1.5708,7.0,0
-52.8825,160.9730,-1.6423,1.5701,7.0,0
-52.8970,162.0484,-1.6447,1.5700,7.0,0
-52.9226,163.1226,-1.6458,1.5703,7.0,0
-52.9479,164.2228,-1.6491,1.5697,7.0,0
-52.9668,165.3019,-1.6441,1.5698,7.0,0
-52.9851,166.3832,-1.6419,1.5691,7.0,0
-53.0040,167.4712,-1.6432,1.5689,7.0,0
-53.0383,168.5454,-1.6436,1.5690,7.0,0
-53.0518,169.6166,-1.6340,1.5683,7.0,0
-53.0791,170.7056,-1.6319,1.5685,7.0,0
-53.0970,171.7614,-1.6250,1.5684,7.0,0
-53.1090,172.8379,-1.6171,1.5682,7.0,0
-53.1327,173.8857,-1.6208,1.5683,7.0,0
-53.1601,174.9650,-1.6242,1.5681,7.0,0
-53.1738,176.0320,-1.6103,1.5685,7.0,0
-53.2009,177.0918,-1.6064,1.5689,7.0,0
-53.2255,178.1324,-1.6069,1.5687,7.0,0
-53.2539,179.1739,-1.5956,1.5686,7.0,0
-53.2796,180.2271,-1.5802,1.5682,7.0,0
-53.2958,181.2357,-1.5757,1.5685,7.0,0
-53.3131,182.2798,-1.5622,1.5686,7.0,0
-53.3163,183.2865,-1.5494,1.5686,7.0,0
-53.3381,184.3027,-1.5346,1.5683,7.0,0
-53.3562,185.3322,-1.5277,1.5686,7.0,0
-53.3786,186.3641,-1.5065,1.5682,7.0,0
-53.4001,187.4041,-1.5025,1.5672,7.0,0
-53.4307,188.4406,-1.4982,1.5633,7.0,0
-53.4587,189.4866,-1.5065,1.5468,7.0,0
-53.4435,190.5327,-1.5022,1.5229,7.0,0
-53.4012,191.5897,-1.5027,1.4979,7.0,0
-53.3281,192.6500,-1.5066,1.4715,7.0,0
-53.2306,193.7212,-1.5120,1.4412,7.0,0
-53.0919,194.7801,-1.5009,1.4033,7.0,0
-52.9015,195.8005,-1.5076,1.3647,7.0,0
-52.6801,196.8244,-1.4974,1.3272,7.0,0
-52.4308,197.8385,-1.4969,1.2942,7.0,0
-52.1805,198.8607,-1.5166,1.2791,7.0,0
-51.9082,199.8787,-1.5218,1.2794,7.0,0
-51.6456,200.9070,-1.5320,1.2932,7.0,0
-51.3706,201.9788,-1.5375,1.3187,7.0,0
-51.1642,202.9956,-1.5524,1.3612,7.0,0
-50.9699,204.1567,-1.5666,1.4262,7.0,0
-50.8469,205.2831,-1.5722,1.4919,7.0,0
-50.7987,206.3653,-1.5710,1.5447,7.0,0
-50.8186,207.4281,-1.5832,1.5651,7.0,0
-50.8572,208.4771,-1.5928,1.5785,0.0,0
