x,y,z,yaw,velocity,change_flag
-48.5546,112.8440,-1.5838,1.5597,0,0
-48.5695,113.9062,-1.5951,1.5696,3.3914,0
-48.5891,114.9747,-1.6088,1.5748,4.8093,0
-48.6094,116.0787,-1.6238,1.5781,6.4625,0
-48.6463,117.1467,-1.6277,1.5791,6.6698,0
-48.6924,118.3262,-1.6281,1.5776,7.3897,0
-48.7218,119.3644,-1.6400,1.5758,7.5421,0
-48.7456,120.4269,-1.6519,1.5731,7.9824,0
-48.7787,121.5001,-1.6646,1.5722,7.6812,0
-48.7974,122.5612,-1.6682,1.5722,7.8761,0
-48.8287,123.6181,-1.6650,1.5728,7.0104,0
-48.8504,124.6657,-1.6694,1.5736,7.1621,0
-48.8948,125.7444,-1.6739,1.5745,7.4010,0
-48.9095,126.7999,-1.6725,1.5758,7.8388,0
-48.9456,127.8605,-1.6736,1.5763,7.5139,0
-48.9660,128.9060,-1.6821,1.5764,7.5068,0
-49.0000,129.9602,-1.6785,1.5760,7.0662,0
-49.0279,131.0412,-1.6787,1.5747,8.1366,0
-49.0403,132.1088,-1.6848,1.5740,7.9543,0
-49.0654,133.1781,-1.6861,1.5728,7.9604,0
-49.0807,134.2781,-1.6774,1.5728,8.1158,0
-49.1094,135.3685,-1.6811,1.5724,7.9011,0
-49.1430,136.4361,-1.6933,1.5723,7.5963,0
-49.1562,137.5234,-1.6955,1.5709,7.4288,0
-49.1757,138.6129,-1.6936,1.5693,8.0404,0
-49.1923,139.6998,-1.7026,1.5683,7.4253,0
-49.2092,140.8457,-1.7064,1.5676,9.1628,0
-49.2331,141.9463,-1.7239,1.5668,8.0007,0
-49.2576,143.0831,-1.7435,1.5659,8.1379,0
-49.2715,144.1725,-1.7553,1.5648,8.3056,0
-49.2869,145.2672,-1.7430,1.5651,7.5320,0
-49.2981,146.3339,-1.7446,1.5647,7.6823,0
-49.3324,147.4222,-1.7503,1.5645,7.4632,0
-49.3435,148.5046,-1.7605,1.5664,7.9441,0
-49.3749,149.5870,-1.7655,1.5671,7.5462,0
-49.3946,150.6918,-1.7671,1.5678,8.2033,0
-49.4132,151.8146,-1.7752,1.5674,7.8734,0
-49.4388,152.9007,-1.7770,1.5685,7.8513,0
-49.4572,153.9609,-1.7788,1.5685,7.9677,0
-49.4700,155.0378,-1.7760,1.5694,7.2994,0
-49.4973,156.1360,-1.7751,1.5701,7.7527,0
-49.5060,157.2244,-1.7709,1.5693,7.5525,0
-49.5293,158.3507,-1.7763,1.5689,7.8792,0
-49.5368,159.4576,-1.7902,1.5682,7.7899,0
-49.5635,160.5815,-1.7925,1.5684,7.7945,0
-49.5784,161.6755,-1.7875,1.5688,7.5529,0
-49.6135,162.7644,-1.7970,1.5692,7.3706,0
-49.6305,163.8583,-1.7845,1.5700,7.9726,0
-49.6432,164.9426,-1.7942,1.5709,7.7522,0
-49.6719,166.0234,-1.7921,1.5710,7.7321,0
-49.6912,167.1044,-1.7830,1.5710,7.3609,0
-49.7132,168.1923,-1.7775,1.5710,7.6282,0
-49.7215,169.2996,-1.7755,1.5714,7.9184,0
-49.7598,170.3883,-1.7742,1.5719,7.8512,0
-49.8017,171.4828,-1.7725,1.5723,7.8671,0
-49.8184,172.5631,-1.7781,1.5741,7.6989,0
-49.8449,173.6445,-1.7797,1.5757,7.5559,0
-49.8843,174.7205,-1.7738,1.5759,7.5654,0
-49.9047,175.7924,-1.7732,1.5760,7.3545,0
-49.9399,176.8753,-1.7648,1.5758,7.9596,0
-49.9736,177.9330,-1.7686,1.5748,7.2891,0
-50.0038,178.9728,-1.7580,1.5743,7.6061,0
-50.0278,180.0231,-1.7475,1.5738,7.6099,0
-50.0488,181.0870,-1.7433,1.5730,7.9467,0
-50.0721,182.1220,-1.7347,1.5730,7.2866,0
-50.0975,183.1789,-1.7273,1.5720,7.5423,0
-50.1289,184.2204,-1.7239,1.5721,7.2763,0
-50.1408,185.2443,-1.7062,1.5723,7.5323,0
-50.1722,186.2717,-1.6901,1.5715,7.3641,0
-50.1966,187.2970,-1.6790,1.5717,8.0348,0
-50.2327,188.3013,-1.6551,1.5717,7.2758,0
-50.2573,189.3164,-1.6434,1.5716,7.4748,0
-50.2858,190.3398,-1.6432,1.5716,7.2086,0
-50.3072,191.3623,-1.6352,1.5716,7.3645,0
-50.3191,192.4030,-1.6238,1.5706,7.7231,0
-50.3445,193.4701,-1.6236,1.5701,7.4457,0
-50.3596,194.4906,-1.6008,1.5686,6.9917,0
-50.3837,195.5431,-1.5979,1.5697,7.6574,0
-50.3999,196.5802,-1.5859,1.5698,7.5196,0
-50.4214,197.6263,-1.5851,1.5692,7.2541,0
-50.4377,198.6720,-1.5701,1.5693,6.9168,0
-50.4722,199.7233,-1.5730,1.5696,7.6872,0
-50.4785,200.7986,-1.5551,1.5715,7.2739,0
-50.5138,201.9111,-1.5605,1.5729,7.9136,0
-50.5398,202.9990,-1.5624,1.5743,7.7402,0
-50.5658,204.0743,-1.5801,1.5751,8.2763,0
-50.5839,205.0910,-1.5862,1.5759,7.2404,0
-50.6338,206.1269,-1.5693,1.5768,6.1796,0
-50.6703,207.1721,-1.5945,1.5787,3.9654,0
