x,y,z,yaw,velocity,change_flag
-50.8414,207.4204,-1.5797,1.5684,0,0
-50.8727,208.4502,-1.5951,1.5675,4.0929,0
-50.8612,209.5327,-1.6150,1.5703,5.4463,0
-50.9018,210.5410,-1.6107,1.5716,6.0856,0
-50.9163,211.6833,-1.6323,1.5718,7.0096,0
-50.9449,212.7300,-1.6310,1.5726,7.0358,0
-50.9650,213.7522,-1.6430,1.5724,6.8695,0
-50.9885,214.7860,-1.6298,1.5734,6.8601,0
-51.0181,215.8139,-1.6353,1.5732,6.8831,0
-51.0417,216.8919,-1.6273,1.5744,7.6033,0
-51.0662,217.9305,-1.6240,1.5734,7.3277,0
-51.1008,219.0107,-1.6269,1.5729,7.3062,0
-51.1232,220.0651,-1.6037,1.5725,8.0484,0
-51.1475,221.1081,-1.5962,1.5718,7.8160,0
-51.1513,222.1670,-1.5591,1.5709,8.0194,0
-51.1901,223.1983,-1.5559,1.5706,7.4134,0
-51.2273,224.2032,-1.5424,1.5703,7.1141,0
-51.2594,225.3768,-1.5315,1.5739,7.3788,0
-51.2964,226.5164,-1.5207,1.5792,7.2887,0
-51.2997,227.6716,-1.4930,1.5877,7.3825,0
-51.3330,228.8108,-1.4640,1.6388,6.6371,0
-51.4495,229.8579,-1.4365,1.6945,6.4607,0
-51.6062,230.8911,-1.3851,1.7478,6.6939,0
-51.7881,231.9098,-1.3360,1.8195,6.0426,0
-52.1874,232.9675,-1.3041,1.9346,5.7485,0
-52.6865,233.9813,-1.2470,2.0535,4.8517,0
-53.3456,234.8599,-1.1970,2.1796,5.8267,0
-54.0418,235.7004,-1.1331,2.3224,4.8009,0
-54.8154,236.3790,-1.0617,2.4744,4.8851,0
-55.8004,236.9976,-1.0299,2.6293,6.0444,0
-56.7676,237.4287,-0.9744,2.7866,4.6327,0
-57.8199,237.7091,-0.9673,2.9550,4.9045,0
-58.9406,237.8038,-0.9359,3.1300,5.8445,0
-60.0556,237.6978,-0.9107,-2.9717,5.8729,0
-61.1374,237.4073,-0.8753,-2.7915,5.5712,0
-62.0701,236.9252,-0.8979,-2.6304,6.2822,0
-62.9626,236.3360,-0.9055,-2.4608,7.0833,0
-63.6993,235.6346,-0.9051,-2.2886,6.9594,0
-64.3256,234.7766,-0.9385,-2.1123,6.9086,0
-64.7847,233.8101,-0.9547,-1.9375,6.7466,0
-65.0673,232.7713,-0.9630,-1.7632,7.3931,0
-65.1255,231.7675,-1.0077,-1.5872,6.1705,0
-64.9953,230.7369,-1.0439,-1.4151,6.2674,0
-64.7334,229.7481,-1.0650,-1.2630,6.2969,0
-64.3417,228.7864,-1.1055,-1.1555,6.4332,0
-63.8407,227.8161,-1.1354,-1.1025,6.9102,0
-63.3470,226.8796,-1.1736,-1.0851,6.0758,0
-62.8479,225.9141,-1.2065,-1.0982,6.6143,0
-62.3535,224.9624,-1.2434,-1.1323,6.1458,0
-61.9412,223.9985,-1.2503,-1.1878,6.8144,0
-61.5838,223.0202,-1.2831,-1.2649,6.5600,0
-61.2663,222.0528,-1.2833,-1.3411,5.9791,0
-61.0131,221.0268,-1.2808,-1.4035,5.5690,0
-60.8033,219.9445,-1.3092,-1.4546,6.8043,0
-60.6454,218.8036,-1.3126,-1.4999,7.1611,0
-60.5419,217.6135,-1.3205,-1.5296,6.9832,0
-60.5053,216.4335,-1.3342,-1.5523,7.2502,0
-60.4657,215.3917,-1.3312,-1.5665,7.2029,0
-60.4718,214.3107,-1.3188,-1.5775,7.7382,0
-60.4550,213.1245,-1.3448,-1.5816,8.6149,0
-60.4568,211.8933,-1.3306,-1.5840,9.0279,0
-60.4343,210.8785,-1.3312,-1.5836,9.5099,0
-60.4467,209.8266,-1.3191,-1.5807,9.7250,0
-60.4223,208.7965,-1.3102,-1.5779,9.7041,0
-60.4019,207.7557,-1.3164,-1.5755,9.9542,0
-60.3632,206.6842,-1.3269,-1.5728,9.4058,0
-60.3566,205.5444,-1.3302,-1.5704,10.2986,0
-60.3274,204.3788,-1.3368,-1.5703,9.9171,0
-60.3166,203.0910,-1.3447,-1.5713,12.0751,0
-60.2958,201.7987,-1.3279,-1.5714,11.6079,0
-60.2510,200.4752,-1.3318,-1.5713,11.7101,0
-60.2222,199.4743,-1.3220,-1.5703,12.1495,0
-60.2093,198.4650,-1.3276,-1.5687,12.0040,0
-60.1942,197.4560,-1.3186,-1.5663,12.3288,0
-60.1536,196.4444,-1.3231,-1.5653,11.7902,0
-60.1466,195.4404,-1.3283,-1.5636,12.0130,0
-60.1246,194.4131,-1.3362,-1.5629,11.9665,0
-60.0898,193.3813,-1.3373,-1.5616,11.8069,0
-60.0595,192.3728,-1.3434,-1.5604,12.3503,0
-60.0357,191.0739,-1.3437,-1.5586,11.3947,0
-59.9739,189.7636,-1.3474,-1.5573,12.2786,0
-59.9355,188.5387,-1.3517,-1.5558,10.9752,0
-59.8957,187.3226,-1.3414,-1.5558,10.5473,0
-59.8447,186.1604,-1.3429,-1.5571,10.3759,0
-59.8218,185.0631,-1.3465,-1.5578,9.6128,0
-59.7650,183.9328,-1.3439,-1.5590,10.5144,0
-59.7453,182.7936,-1.3419,-1.5597,10.5160,0
-59.6997,181.6187,-1.3450,-1.5607,10.7783,0
-59.6684,180.3954,-1.3602,-1.5620,11.6549,0
-59.6119,179.1555,-1.3747,-1.5634,11.5103,0
-59.5831,177.8915,-1.3716,-1.5640,11.8507,0
-59.5479,176.5992,-1.3859,-1.5646,11.7118,0
-59.5067,175.3286,-1.4104,-1.5641,11.1072,0
-59.4823,174.0444,-1.4342,-1.5644,11.9787,0
-59.4468,172.7767,-1.4453,-1.5643,11.2722,0
-59.4022,171.5259,-1.4466,-1.5642,10.8904,0
-59.3838,170.2805,-1.4413,-1.5641,11.2850,0
-59.3427,169.0244,-1.4546,-1.5634,10.9764,0
-59.3092,167.7359,-1.4627,-1.5631,12.0583,0
-59.2767,166.4782,-1.4553,-1.5633,11.4689,0
-59.2385,165.2125,-1.4563,-1.5639,11.2454,0
-59.2080,163.9677,-1.4741,-1.5635,11.5285,0
-59.1739,162.7163,-1.4761,-1.5632,10.8481,0
-59.1391,161.4332,-1.4832,-1.5643,11.1592,0
-59.1163,160.1522,-1.4937,-1.5653,11.5905,0
-59.0765,158.8995,-1.5031,-1.5663,10.8189,0
-59.0394,157.6779,-1.5054,-1.5671,10.9389,0
-59.0098,156.4236,-1.5140,-1.5667,11.3814,0
-58.9758,155.1661,-1.5095,-1.5664,11.6139,0
-58.9398,153.8760,-1.5064,-1.5660,11.8059,0
-58.8946,152.5722,-1.5008,-1.5660,11.5639,0
-58.8753,151.3043,-1.4957,-1.5654,10.8230,0
-58.8433,150.0680,-1.4789,-1.5663,11.0572,0
-58.8202,148.8026,-1.4842,-1.5665,11.4351,0
-58.7981,147.5611,-1.4794,-1.5673,11.4749,0
-58.7614,146.3143,-1.4657,-1.5678,10.9294,0
-58.7291,145.0625,-1.4462,-1.5682,11.2410,0
-58.7013,143.8294,-1.4315,-1.5684,10.7764,0
-58.6774,142.5786,-1.4183,-1.5689,10.9935,0
-58.6485,141.3384,-1.3955,-1.5693,11.1544,0
-58.6155,140.1030,-1.3733,-1.5701,11.0145,0
-58.5757,138.8585,-1.3796,-1.5702,11.5796,0
-58.5603,137.6141,-1.3809,-1.5705,10.9502,0
-58.5337,136.3698,-1.3860,-1.5711,11.5193,0
-58.5097,135.0998,-1.3682,-1.5717,11.0375,0
-58.4879,133.8752,-1.3598,-1.5717,11.2930,0
-58.4488,132.6311,-1.3423,-1.5720,11.1507,0
-58.4348,131.4563,-1.3295,-1.5710,10.0093,0
-58.3984,130.2778,-1.3225,-1.5705,10.6900,0
-58.3750,129.1214,-1.3146,-1.5699,10.4273,0
-58.3627,127.9501,-1.3077,-1.5708,10.0988,0
-58.3380,126.8078,-1.3060,-1.5709,10.5733,0
-58.3119,125.6814,-1.2991,-1.5702,9.9712,0
-58.2884,124.5680,-1.2817,-1.5696,9.8074,0
-58.2696,123.4619,-1.2879,-1.5703,9.4080,0
-58.2446,122.3783,-1.2847,-1.5703,9.9462,0
-58.2370,121.3403,-1.2746,-1.5707,8.9835,0
-58.2213,120.3068,-1.2717,-1.5711,8.8622,0
-58.1813,119.3057,-1.2758,-1.5716,8.7359,0
-58.1669,118.0800,-1.2699,-1.5718,8.7900,0
-58.1388,116.9193,-1.2553,-1.5723,8.5040,0
-58.1290,115.8324,-1.2609,-1.5725,7.6264,0
-58.1061,114.6823,-1.2568,-1.5728,6.1536,0
-58.0861,113.6600,-1.2573,-1.5728,4.4160,0
-58.0512,112.6336,-1.2479,-1.5723,2.0359,0
