x,y,z,yaw,velocity,change_flag
-57.7405,106.1636,-1.2338,-1.4939,7.0,0
-57.6244,105.1135,-1.2511,-1.4932,7.2096,0
-57.5142,104.0393,-1.2534,-1.4916,7.8581,0
-57.4006,103.0147,-1.2422,-1.4886,7.7451,0
-57.2944,101.9537,-1.2400,-1.4850,7.4469,0
-57.1694,100.8033,-1.2274,-1.4814,7.6731,0
-57.0697,99.8055,-1.2330,-1.4778,7.6031,0
-56.9509,98.7380,-1.1944,-1.4734,7.8189,0
-56.8200,97.6205,-1.1903,-1.4692,8.4393,0
-56.6765,96.4747,-1.1751,-1.4681,8.5626,0
-56.5349,95.3355,-1.1658,-1.4674,7.9734,0
-56.3907,94.1881,-1.1462,-1.4659,8.1768,0
-56.2462,93.0583,-1.1133,-1.4645,8.2512,0
-56.1119,91.9616,-1.0957,-1.4645,7.7875,0
-55.9705,90.8631,-1.0675,-1.4638,7.8941,0
-55.8287,89.7871,-1.0465,-1.4628,7.6285,0
-55.6894,88.7073,-1.0111,-1.4623,7.5218,0
-55.5534,87.6497,-0.9857,-1.4618,7.6424,0
-55.4242,86.6201,-0.9560,-1.4606,7.3960,0
-55.2898,85.6261,-0.9294,-1.4603,6.7572,0
-55.1313,84.4390,-0.8999,-1.4600,7.1858,0
-55.0044,83.4467,-0.8619,-1.4596,6.8398,0
-54.8504,82.2750,-0.8318,-1.4621,6.8999,0
-54.6811,81.2745,-0.8192,-1.4668,7.2752,0
-54.5472,80.0732,-0.7685,-1.4735,7.5155,0
-54.4071,78.8989,-0.7315,-1.4814,6.8930,0
-54.2771,77.7091,-0.6780,-1.4918,7.1476,0
-54.1888,76.7121,-0.6088,-1.5014,7.1272,0
-54.0929,75.5186,-0.5365,-1.5138,7.1742,0
-54.0072,74.3773,-0.4459,-1.5248,6.7263,0
-53.9570,73.2303,-0.3864,-1.5360,7.3097,0
-53.8864,72.0580,-0.2884,-1.5430,8.2833,0
-53.8206,70.8756,-0.2182,-1.5470,6.8623,0
-53.7811,69.8698,-0.1597,-1.5487,7.3809,0
-53.7325,68.8493,-0.0945,-1.5502,7.2702,0
-53.6923,67.6580,-0.0200,-1.5520,7.0138,0
-53.6357,66.4772,0.0513,-1.5519,6.9234,0
-53.6104,65.4682,0.1070,-1.5536,7.2685,0
-53.5750,64.3774,0.1852,-1.5570,6.8450,0
-53.5188,63.3253,0.2492,-1.5599,6.1399,0
-53.4977,62.1867,0.3362,-1.5622,6.1212,0
-53.4597,61.0818,0.4168,-1.5665,5.6319,0
-53.4262,59.9906,0.5013,-1.5674,5.5129,0
-53.4137,58.9170,0.5720,-1.5662,5.1033,0
-53.3927,57.8472,0.6653,-1.5654,5.8474,0
-53.3708,56.8217,0.7236,-1.5653,4.6129,0
-53.3342,55.7614,0.7973,-1.5640,3.9807,0
