x,y,z,yaw,velocity,change_flag
-52.6217,48.7677,1.2103,-1.4837,0,0
-52.4879,47.7385,1.2696,-1.4836,6.4820,0
-52.3716,46.5919,1.3264,-1.4820,5.7953,0
-52.2311,45.4276,1.3836,-1.4805,6.3753,0
-52.1204,44.4215,1.4207,-1.4813,6.2763,0
-52.0088,43.3695,1.4406,-1.4843,6.8071,0
-51.8812,42.3053,1.4587,-1.4865,6.3019,0
-51.7834,41.1869,1.4652,-1.4873,6.9593,0
-51.6534,40.0999,1.4810,-1.4874,6.0971,0
-51.5538,38.9547,1.5020,-1.4871,6.6396,0
-51.4167,37.8172,1.5194,-1.4859,7.3286,0
-51.2889,36.6410,1.5391,-1.4825,7.4502,0
-51.1621,35.4890,1.5616,-1.4766,6.9855,0
-51.0152,34.3484,1.5793,-1.4678,6.8105,0
-50.8741,33.2124,1.5988,-1.4646,6.6896,0
-50.7467,32.1871,1.6079,-1.4655,6.0919,0
-50.6212,31.0607,1.6118,-1.4710,5.6010,0
-50.4944,29.9572,1.6170,-1.4781,5.8325,0
-50.3651,28.9308,1.6220,-1.4864,5.0807,0
-50.2771,27.9261,1.6392,-1.5028,4.8064,0
-50.1633,26.8946,1.6665,-1.5394,5.4209,0
-50.1766,25.8161,1.6880,-1.5897,5.6515,0
-50.1925,24.7676,1.7273,-1.6333,5.1890,0
-50.2571,23.6941,1.7537,-1.6772,5.5143,0
-50.3833,22.6241,1.8096,-1.7170,5.7220,0
-50.5195,21.6062,1.8427,-1.7501,4.6889,0
-50.7059,20.5460,1.8727,-1.7778,5.1702,0
-50.9189,19.4754,1.9143,-1.7871,5.6678,0
-51.0977,18.3622,1.9460,-1.7747,6.0930,0
-51.2589,17.3380,1.9937,-1.7410,6.6057,0
-51.3901,16.3391,2.0174,-1.6856,5.8149,0
-51.4656,15.2898,2.0457,-1.6153,4.8256,0
-51.4942,14.1945,2.0695,-1.5485,4.6302,0
-51.4439,13.1730,2.1003,-1.4992,5.3713,0
-51.3472,12.1178,2.1065,-1.4647,5.7943,0
-51.1813,10.9930,2.1373,-1.4434,5.6541,0
-51.0327,9.9850,2.1404,-1.4252,6.3590,0
-50.8438,8.9991,2.1660,-1.3821,6.5700,0
-50.6187,7.9880,2.1910,-1.3112,5.8186,0
-50.2687,6.9918,2.1926,-1.2277,6.1187,0
-49.8354,5.9875,2.1679,-1.1351,6.8704,0
-49.3051,5.0387,2.1698,-1.0240,6.5049,0
-48.6421,4.1253,2.1574,-0.8984,7.2091,0
-47.8711,3.2819,2.1277,-0.7727,7.1419,0
-46.9556,2.5409,2.0800,-0.6437,7.4474,0
-45.9277,1.8765,2.0547,-0.5260,8.3802,0
-45.0044,1.4139,2.0004,-0.4397,7.4029,0
-44.0447,1.0262,1.9476,-0.3665,7.8769,0
-43.0781,0.6924,1.9002,-0.2998,6.7033,0
-42.0241,0.3918,1.8389,-0.2409,7.9214,0
-40.9589,0.1824,1.8036,-0.1926,7.4128,0
-39.8118,0.0043,1.7502,-0.1572,8.0286,0
-38.6149,-0.1774,1.7232,-0.1281,8.8919,0
-37.3687,-0.2935,1.6815,-0.1001,9.2083,0
-36.3620,-0.3508,1.6417,-0.0812,9.5003,0
-35.3420,-0.4165,1.5996,-0.0636,10.4843,0
-34.3134,-0.4546,1.5722,-0.0475,9.1004,0
-33.2671,-0.4348,1.5396,-0.0366,9.3992,0
-32.2650,-0.4511,1.5265,-0.0269,8.8586,0
-31.0274,-0.4380,1.4908,-0.0234,9.5009,0
-29.8277,-0.4641,1.4440,-0.0267,9.6834,0
-28.6292,-0.4787,1.4221,-0.0289,8.3980,0
-27.4452,-0.4882,1.3758,-0.0285,9.2359,0
-26.3674,-0.4958,1.3367,-0.0250,9.0914,0
-25.1193,-0.4922,1.2829,-0.0215,8.8868,0
-24.0969,-0.4901,1.2513,-0.0182,9.4905,0
-23.0713,-0.4986,1.2073,-0.0171,9.2667,0
-22.0198,-0.4806,1.1574,-0.0162,9.2074,0
-20.9849,-0.4867,1.1257,-0.0159,9.3648,0
-19.9028,-0.4767,1.0809,-0.0146,9.6058,0
-18.8317,-0.4451,1.0356,-0.0141,9.7510,0
-17.7277,-0.4480,0.9955,-0.0118,10.1290,0
-16.6406,-0.4360,0.9466,-0.0102,9.6227,0
-15.5090,-0.4393,0.9075,-0.0079,9.2808,0
-14.3961,-0.4318,0.8620,-0.0069,9.7621,0
-13.3200,-0.3996,0.8121,-0.0056,9.1664,0
-12.2446,-0.3833,0.7615,-0.0054,9.0476,0
-11.1877,-0.3665,0.7269,-0.0051,9.0156,0
-10.1589,-0.3378,0.6701,-0.0056,9.2562,0
-9.1328,-0.3231,0.6252,-0.0051,9.2814,0
-7.9594,-0.2938,0.5998,-0.0047,8.7892,0
-6.7992,-0.2745,0.5645,-0.0047,8.3164,0
-5.6751,-0.2758,0.5103,-0.0037,8.1021,0
-4.5914,-0.2547,0.4817,-0.0027,8.0241,0
-3.5340,-0.2423,0.4557,-0.0008,7.0867,0
-2.4690,-0.2214,0.4167,-0.0003,7.6434,0
-1.4491,-0.1982,0.3883,0.0004,7.4052,0
-0.4241,-0.1715,0.3732,0.0006,7.0643,0
0.7045,-0.1378,0.3410,0.0015,5.3360,0
