x,y,z,yaw,velocity,change_flag
5.1638,0.0755,-0.0652,-0.0058,0,0
6.2864,0.0801,-0.0704,0.0012,5.000,0
7.3225,0.1014,-0.1078,0.0085,10.000,0
8.4011,0.1448,-0.1145,0.0160,10.000,0
9.4579,0.1766,-0.1490,0.0232,10.000,0
10.5377,0.2271,-0.1665,0.0198,10.000,0
11.6044,0.2556,-0.1719,0.0128,10.000,0
12.6819,0.3008,-0.1984,0.0068,10.000,0
13.7617,0.3565,-0.1971,-0.0011,10.000,0
14.8212,0.3813,-0.1933,-0.0072,10.000,0
15.8968,0.3945,-0.2023,-0.0035,10.000,0
16.9709,0.4111,-0.2257,-0.0017,10.000,0
18.0407,0.4204,-0.2454,-0.0032,10.000,0
19.0909,0.4455,-0.2343,-0.0045,10.000,0
20.0976,0.4541,-0.2396,-0.0039,10.000,0
21.1383,0.4833,-0.2381,-0.0027,10.000,0
22.1752,0.4949,-0.2388,-0.0020,10.000,0
23.2011,0.5242,-0.2309,0.0003,10.000,0
24.3614,0.5268,-0.2330,0.0032,10.000,0
25.4664,0.5641,-0.2166,0.0081,10.000,0
26.5459,0.5870,-0.2166,0.0147,10.000,0
27.5802,0.6117,-0.2259,0.0158,10.000,0
28.6677,0.6576,-0.2029,0.0172,10.000,0
29.7591,0.6976,-0.1823,0.0210,10.000,0
30.8195,0.7627,-0.1547,0.0224,5.000,0
31.8781,0.8038,-0.1307,0.0250,0.0000,0
