x,y,z,yaw,velocity,change_flag
-50.5024,186.9106,-1.6758,1.5559,0,0
-50.5248,187.9800,-1.6522,1.5736,3.5639,0
-50.5587,189.0817,-1.6437,1.5731,4.3382,0
-50.5737,190.0929,-1.6261,1.5687,5.6632,0
-50.5957,191.1440,-1.6295,1.5676,5.6916,0
-50.6270,192.2731,-1.6179,1.5657,5.6796,0
-50.6358,193.4462,-1.6042,1.5636,6.2136,0
-50.6521,194.4585,-1.5951,1.5625,5.9946,0
-50.6689,195.4805,-1.5968,1.5609,6.0365,0
-50.6839,196.4818,-1.5827,1.5594,5.6246,0
-50.6997,197.5671,-1.5705,1.5582,5.6300,0
-50.7102,198.6322,-1.5754,1.5572,4.6450,0
-50.7206,199.6901,-1.5693,1.5562,4.0429,0
-50.7218,200.7588,-1.5587,1.5546,3.7154,0
-50.7195,201.7930,-1.5622,1.5532,3.9416,0
-50.7321,202.8365,-1.5674,1.5515,4.3668,0
-50.7222,203.9972,-1.5700,1.5531,6.2676,0
-50.7095,205.1107,-1.5739,1.5566,5.5318,0
-50.7256,206.1817,-1.5685,1.5591,5.1489,0
-50.7342,207.2464,-1.5860,1.5626,5.5212,0
-50.7613,208.4111,-1.6026,1.5667,6.2313,0
-50.7722,209.5681,-1.6215,1.5678,5.9199,0
-50.7918,210.6031,-1.6207,1.5670,5.8722,0
-50.8078,211.6748,-1.6303,1.5662,6.2903,0
-50.8374,212.7542,-1.6459,1.5655,6.1305,0
-50.8606,213.8321,-1.6587,1.5647,6.4347,0
-50.8714,214.9280,-1.6465,1.5648,6.4714,0
-50.8902,216.0241,-1.6460,1.5634,7.2371,0
-50.8931,217.1756,-1.6392,1.5634,7.5477,0
-50.9295,218.3405,-1.6294,1.5633,7.4847,0
-50.9486,219.4970,-1.6257,1.5652,6.5579,0
-50.9637,220.5047,-1.6049,1.5670,7.3333,0
-50.9916,221.6992,-1.6005,1.5692,7.3020,0
-51.0124,222.7111,-1.5834,1.5712,7.5025,0
-51.0276,223.7284,-1.5546,1.5736,7.0021,0
-51.0677,224.7519,-1.5348,1.5754,6.8973,0
-51.0882,225.9459,-1.5284,1.5792,7.3923,0
